id,username,gender,age,layout,level,path,path_length_difference,groupSize,file,answer,time
1,nozomi,Male,null,TRGIB,0,163+497+152+158+151,0,40,1.json,0,30
2,nozomi,Male,null,FDGIB,0,113+132+3+25+33,0,10,2.json,1,8016
3,nozomi,Male,null,FDGIB,0,4+344+336+0+5+12,-1,40,3.json,1,13400
4,nozomi,Male,null,FDGIB,0,53+38,3,10,4.json,0,30
5,nozomi,Male,null,TRGIB,0,407+692+698+414+410,0,40,5.json,0,30
6,nozomi,Male,null,FDGIB,0,81+172+126+113+128+112,-1,10,6.json,1,11630
7,nozomi,Male,null,TRGIB,0,31+76+19+73+75+79,-1,10,7.json,1,18437
8,nozomi,Male,null,TRGIB,0,34+495+30+27+511,0,40,8.json,1,8851
9,nozomi,Male,null,TRGIB,0,598+294+288+306+290+295,-1,40,9.json,0,24255
10,nozomi,Male,null,FDGIB,0,587+606+592+600+597,0,40,10.json,0,19469
11,nozomi,Male,null,FDGIB,0,37+130+88+118+137,0,10,11.json,1,8622
12,nozomi,Male,null,TRGIB,0,91+171+88+97+95,0,10,12.json,1,10207
13,nozomi,Male,null,FDGIB,0,85+164+91+108+98,0,10,13.json,1,7041
14,nozomi,Male,null,TRGIB,0,103+77+100+109+115,0,10,14.json,1,14282
15,nozomi,Male,null,TRGIB,0,35+45+102+105+88,0,10,15.json,1,8939
16,nozomi,Male,null,TRGIB,0,148+87+25+16+30,0,10,16.json,0,30
17,nozomi,Male,null,TRGIB,0,59+145+15,2,10,17.json,0,30
18,nozomi,Male,null,TRGIB,0,164+465+76+73+173,0,40,18.json,1,11898
19,nozomi,Male,null,FDGIB,0,547+174+169+173+155,0,40,19.json,1,10816
20,nozomi,Male,null,TRGIB,0,120+281+119+630+293,0,40,20.json,1,15166
21,nozomi,Male,null,TRGIB,0,19+422+412+417,1,40,21.json,0,30
22,nozomi,Male,null,TRGIB,0,151+87+138+143+133,0,10,22.json,1,7571
23,nozomi,Male,null,TRGIB,0,197+206+158+135+141,0,10,23.json,1,29230
24,nozomi,Male,null,FDGIB,0,8+202+224,2,40,24.json,0,30
25,nozomi,Male,null,FDGIB,0,692+128+519+132+134+131,-1,40,25.json,1,13947
26,nozomi,Male,null,TRGIB,0,9+510+86+82+80,0,40,26.json,1,8835
27,nozomi,Male,null,FDGIB,0,30+110+115+51+45+34,-1,10,27.json,1,12382
28,nozomi,Male,null,FDGIB,0,127+644+143+131+128,0,40,28.json,1,25035
29,nozomi,Male,null,FDGIB,0,57+172+92,2,10,29.json,0,30
30,nozomi,Male,null,FDGIB,0,90+128+104+91+106,0,10,30.json,1,15633
31,nozomi,Male,null,FDGIB,0,90+128+104+91+106,0,10,31.json,1,17048
32,nozomi,Male,null,FDGIB,0,172+86,3,10,33.json,0,13665
33,nozomi,Male,null,TRGIB,0,11+49,3,10,34.json,0,13682
34,nozomi,Male,null,FDGIB,0,172+86+173+148+58+65+71,-2,10,32.json,1,28027
