id,username,gender,age,layout,level,path,path_length_difference,groupSize,origin_file,file,answer,time
1,nozomi,Male,null,FDGIB,0,85+64+83+141+59,0,10,25.json,0.json,1,7876000
2,nozomi,Male,null,FDGIB,0,42+56+159+152+44,0,10,5.json,1.json,1,7091000
3,nozomi,Male,null,FDGIB,0,616+595+487+607+606+604,-1,40,28.json,2.json,1,22127000
4,nozomi,Male,null,TRGIB,0,214+178+399+416+212,0,40,19.json,3.json,1,22335000
5,nozomi,Male,null,TRGIB,0,240+327+239+391+270,0,40,27.json,4.json,1,6730000
6,nozomi,Male,null,TRGIB,0,697+30+275+276+311,0,40,0.json,5.json,1,22060000
7,nozomi,Male,null,TRGIB,0,427+468+638+626+439,0,40,12.json,6.json,1,7810000
8,nozomi,Male,null,FDGIB,0,169+183+270+278+167,0,40,1.json,7.json,1,9793000
9,nozomi,Male,null,TRGIB,0,82+138+141+96+87,0,10,12.json,8.json,1,9582000
10,nozomi,Male,null,FDGIB,0,115+73,3,10,20.json,9.json,0,30000
11,nozomi,Male,null,TRGIB,0,157+18+142+156+136,0,10,26.json,10.json,1,17381000
12,nozomi,Male,null,FDGIB,0,149+115+116+54+67,0,10,11.json,11.json,1,10257000
13,nozomi,Male,null,FDGIB,0,304+107+446+445+124,0,40,2.json,12.json,1,8795000
14,nozomi,Male,null,FDGIB,0,211+770+387,2,40,23.json,13.json,0,30000
15,nozomi,Male,null,FDGIB,0,469+407+470+228+399,0,40,29.json,14.json,1,10089000
16,nozomi,Male,null,FDGIB,0,10+36+65+26+64,0,10,28.json,15.json,1,27843000
17,nozomi,Male,null,TRGIB,0,42+56+43+159+147+152,-1,10,5.json,16.json,1,7602000
18,nozomi,Male,null,FDGIB,0,337+476+77+76+344,0,40,32.json,17.json,1,10398000
19,nozomi,Male,null,TRGIB,0,4+576+5+564,1,40,7.json,18.json,0,30000
20,nozomi,Male,null,FDGIB,0,550+15+7+295+558,0,40,26.json,19.json,1,7230000
21,nozomi,Male,null,FDGIB,0,87+125+117+127+89+86,-1,10,17.json,20.json,1,13653000
22,nozomi,Male,null,FDGIB,0,126+113+98+55+71,0,10,0.json,21.json,1,11256000
23,nozomi,Male,null,TRGIB,0,88+5+84+436+430,0,40,11.json,22.json,1,5696000
24,nozomi,Male,null,TRGIB,0,136+129+30+29+130,0,10,9.json,23.json,1,5589000
25,nozomi,Male,null,TRGIB,0,86+175+157+156+87,0,10,19.json,24.json,1,8817000
26,nozomi,Male,null,FDGIB,0,88+5+84+436+430,0,40,11.json,25.json,1,23385000
27,nozomi,Male,null,TRGIB,0,216+149+155+325+217,0,40,5.json,26.json,1,10286000
